INSTANCE_NUMBER, SNAP_ID, BEGIN_TIME, PLAN_NAME, CONSUMER_GROUP, MGMT_P1, PARALLEL_TARGET_PERCENTAGE, PARALLEL_DEGREE_LIMIT_P1, MAX_UTILIZATION_LIMIT
1, 126147, 15/11/2018 00:00:13, ADW_UNLOAD_PLAN, ADW_UNLOAD_GROUP, 48, 60, 16, 55
1, 126147, 15/11/2018 00:00:13, ADW_UNLOAD_PLAN, FP_DM_PRIOR, 20, 20, 16, 20
1, 126147, 15/11/2018 00:00:13, ADW_UNLOAD_PLAN, HDP_UNLOAD_GROUP, 8, 10, 8, 12
1, 126147, 15/11/2018 00:00:13, ADW_UNLOAD_PLAN, ODS2EXA_GROUP, 10, 5, 16, 25
1, 126147, 15/11/2018 00:00:13, ADW_UNLOAD_PLAN, ODS_SUPPORT_GROUP, 5, 5, 16, 5
1, 126147, 15/11/2018 00:00:13, ADW_UNLOAD_PLAN, OTHER_GROUPS, 0, None, None, None
1, 126148, 15/11/2018 00:20:19, ADW_UNLOAD_PLAN, ADW_UNLOAD_GROUP, 48, 60, 16, 55
1, 126148, 15/11/2018 00:20:19, ADW_UNLOAD_PLAN, FP_DM_PRIOR, 20, 20, 16, 20
1, 126148, 15/11/2018 00:20:19, ADW_UNLOAD_PLAN, HDP_UNLOAD_GROUP, 8, 10, 8, 12
1, 126148, 15/11/2018 00:20:19, ADW_UNLOAD_PLAN, ODS2EXA_GROUP, 10, 5, 16, 25
1, 126148, 15/11/2018 00:20:19, ADW_UNLOAD_PLAN, ODS_SUPPORT_GROUP, 5, 5, 16, 5
1, 126148, 15/11/2018 00:20:19, ADW_UNLOAD_PLAN, OTHER_GROUPS, 0, None, None, None
1, 126149, 15/11/2018 00:40:11, ADW_UNLOAD_PLAN, ADW_UNLOAD_GROUP, 48, 60, 16, 55
1, 126149, 15/11/2018 00:40:11, ADW_UNLOAD_PLAN, FP_DM_PRIOR, 20, 20, 16, 20
1, 126149, 15/11/2018 00:40:11, ADW_UNLOAD_PLAN, HDP_UNLOAD_GROUP, 8, 10, 8, 12
1, 126149, 15/11/2018 00:40:11, ADW_UNLOAD_PLAN, ODS2EXA_GROUP, 10, 5, 16, 25
1, 126149, 15/11/2018 00:40:11, ADW_UNLOAD_PLAN, ODS_SUPPORT_GROUP, 5, 5, 16, 5
1, 126149, 15/11/2018 00:40:11, ADW_UNLOAD_PLAN, OTHER_GROUPS, 0, None, None, None
1, 126150, 15/11/2018 01:00:11, ADW_UNLOAD_PLAN, ADW_UNLOAD_GROUP, 48, 60, 16, 55
