INSTANCE_NUMBER, SNAP_ID, BEGIN_TIME, PLAN_NAME, CONSUMER_GROUP, MGMT_P1, PARALLEL_TARGET_PERCENTAGE, PARALLEL_DEGREE_LIMIT_P1, MAX_UTILIZATION_LIMIT
1, 129923, 10/01/2019 00:00:10, ADW_UNLOAD_PLAN, ADW_UNLOAD_GROUP, 30, 20, 16, 33
1, 129923, 10/01/2019 00:00:10, ADW_UNLOAD_PLAN, FP_DM_PRIOR, 20, 12, 16, 20
1, 129923, 10/01/2019 00:00:10, ADW_UNLOAD_PLAN, HDP_UNLOAD_GROUP, 8, 5, 8, 10
1, 129923, 10/01/2019 00:00:10, ADW_UNLOAD_PLAN, ODS2EXA_GROUP, 10, 5, 16, 25
1, 129923, 10/01/2019 00:00:10, ADW_UNLOAD_PLAN, ODS_SUPPORT_GROUP, 5, 3, 16, 5
1, 129923, 10/01/2019 00:00:10, ADW_UNLOAD_PLAN, OTHER_GROUPS, 0, None, None, None
1, 129924, 10/01/2019 00:20:21, ADW_UNLOAD_PLAN, ADW_UNLOAD_GROUP, 30, 20, 16, 33
1, 129924, 10/01/2019 00:20:21, ADW_UNLOAD_PLAN, FP_DM_PRIOR, 20, 12, 16, 20
1, 129924, 10/01/2019 00:20:21, ADW_UNLOAD_PLAN, HDP_UNLOAD_GROUP, 8, 5, 8, 10
1, 129924, 10/01/2019 00:20:21, ADW_UNLOAD_PLAN, ODS2EXA_GROUP, 10, 5, 16, 25
1, 129924, 10/01/2019 00:20:21, ADW_UNLOAD_PLAN, ODS_SUPPORT_GROUP, 5, 3, 16, 5
1, 129924, 10/01/2019 00:20:21, ADW_UNLOAD_PLAN, OTHER_GROUPS, 0, None, None, None
1, 129925, 10/01/2019 00:40:05, ADW_UNLOAD_PLAN, ADW_UNLOAD_GROUP, 30, 20, 16, 33
1, 129925, 10/01/2019 00:40:05, ADW_UNLOAD_PLAN, FP_DM_PRIOR, 20, 12, 16, 20
1, 129925, 10/01/2019 00:40:05, ADW_UNLOAD_PLAN, HDP_UNLOAD_GROUP, 8, 5, 8, 10
