INSTANCE_NUMBER, SNAP_ID, BEGIN_TIME, PLAN_NAME, CONSUMER_GROUP, MGMT_P1, PARALLEL_TARGET_PERCENTAGE, PARALLEL_DEGREE_LIMIT_P1, MAX_UTILIZATION_LIMIT
1, 125211, 02/11/2018 00:00:11, ADW_UNLOAD_PLAN, ADW_UNLOAD_GROUP, 48, 50, 16, 55
1, 125211, 02/11/2018 00:00:11, ADW_UNLOAD_PLAN, FP_DM_PRIOR, 20, 20, 16, 20
1, 125211, 02/11/2018 00:00:11, ADW_UNLOAD_PLAN, HDP_UNLOAD_GROUP, 8, 12, 8, 12
1, 125211, 02/11/2018 00:00:11, ADW_UNLOAD_PLAN, ODS2EXA_GROUP, 10, 5, 16, 25
1, 125211, 02/11/2018 00:00:11, ADW_UNLOAD_PLAN, ODS_SUPPORT_GROUP, 5, 5, 16, 5
1, 125211, 02/11/2018 00:00:11, ADW_UNLOAD_PLAN, OTHER_GROUPS, 0, None, None, None
1, 125212, 02/11/2018 00:20:16, ADW_UNLOAD_PLAN, ADW_UNLOAD_GROUP, 48, 50, 16, 55
1, 125212, 02/11/2018 00:20:16, ADW_UNLOAD_PLAN, FP_DM_PRIOR, 20, 20, 16, 20
1, 125212, 02/11/2018 00:20:16, ADW_UNLOAD_PLAN, HDP_UNLOAD_GROUP, 8, 12, 8, 12
1, 125212, 02/11/2018 00:20:16, ADW_UNLOAD_PLAN, ODS2EXA_GROUP, 10, 5, 16, 25
1, 125212, 02/11/2018 00:20:16, ADW_UNLOAD_PLAN, ODS_SUPPORT_GROUP, 5, 5, 16, 5
1, 125212, 02/11/2018 00:20:16, ADW_UNLOAD_PLAN, OTHER_GROUPS, 0, None, None, None
1, 125213, 02/11/2018 00:40:04, ADW_UNLOAD_PLAN, ADW_UNLOAD_GROUP, 48, 50, 16, 55
1, 125213, 02/11/2018 00:40:04, ADW_UNLOAD_PLAN, FP_DM_PRIOR, 20, 20, 16, 20
1, 125213, 02/11/2018 00:40:04, ADW_UNLOAD_PLAN, HDP_UNLOAD_GROUP, 8, 12, 8, 12
1, 125213, 02/11/2018 00:40:04, ADW_UNLOAD_PLAN, ODS2EXA_GROUP, 10, 5, 16, 25
1, 125213, 02/11/2018 00:40:04, ADW_UNLOAD_PLAN, ODS_SUPPORT_GROUP, 5, 5, 16, 5
1, 125213, 02/11/2018 00:40:04, ADW_UNLOAD_PLAN, OTHER_GROUPS, 0, None, None, None
1, 125214, 02/11/2018 01:00:06, ADW_UNLOAD_PLAN, ADW_UNLOAD_GROUP, 48, 50, 16, 55
1, 125214, 02/11/2018 01:00:06, ADW_UNLOAD_PLAN, FP_DM_PRIOR, 20, 20, 16, 20
1, 125214, 02/11/2018 01:00:06, ADW_UNLOAD_PLAN, HDP_UNLOAD_GROUP, 8, 12, 8, 12
1, 125214, 02/11/2018 01:00:06, ADW_UNLOAD_PLAN, ODS2EXA_GROUP, 10, 5, 16, 25
1, 125214, 02/11/2018 01:00:06, ADW_UNLOAD_PLAN, ODS_SUPPORT_GROUP, 5, 5, 16, 5
1, 125214, 02/11/2018 01:00:06, ADW_UNLOAD_PLAN, OTHER_GROUPS, 0, None, None, None
1, 125215, 02/11/2018 01:20:10, ADW_UNLOAD_PLAN, ADW_UNLOAD_GROUP, 48, 50, 16, 55
1, 125215, 02/11/2018 01:20:10, ADW_UNLOAD_PLAN, FP_DM_PRIOR, 20, 20, 16, 20
1, 125215, 02/11/2018 01:20:10, ADW_UNLOAD_PLAN, HDP_UNLOAD_GROUP, 8, 12, 8, 12
1, 125215, 02/11/2018 01:20:10, ADW_UNLOAD_PLAN, ODS2EXA_GROUP, 10, 5, 16, 25
1, 125215, 02/11/2018 01:20:10, ADW_UNLOAD_PLAN, ODS_SUPPORT_GROUP, 5, 5, 16, 5
1, 125215, 02/11/2018 01:20:10, ADW_UNLOAD_PLAN, OTHER_GROUPS, 0, None, None, None
1, 125216, 02/11/2018 01:40:04, ADW_UNLOAD_PLAN, ADW_UNLOAD_GROUP, 48, 50, 16, 55
1, 125216, 02/11/2018 01:40:04, ADW_UNLOAD_PLAN, FP_DM_PRIOR, 20, 20, 16, 20
1, 125216, 02/11/2018 01:40:04, ADW_UNLOAD_PLAN, HDP_UNLOAD_GROUP, 8, 12, 8, 12
1, 125216, 02/11/2018 01:40:04, ADW_UNLOAD_PLAN, ODS2EXA_GROUP, 10, 5, 16, 25
1, 125216, 02/11/2018 01:40:04, ADW_UNLOAD_PLAN, ODS_SUPPORT_GROUP, 5, 5, 16, 5
1, 125216, 02/11/2018 01:40:04, ADW_UNLOAD_PLAN, OTHER_GROUPS, 0, None, None, None
